대표식품명,품종명,유통기한(일)
가지,가지,4
갈치,은갈치,
감귤,감귤,14
감귤,레드향,14
감귤,천헤향,14
감귤,하우스감귤,14
감귤,한라향,14
감귤,황금향,14
감자,감자,150
감자,고냉지,150
감자,깐감자,150
감자,돼지감자,150
감자,두백,150
감자,봄감자,150
감자,추백감자,150
감자,호박감자,150
강낭콩,강낭콩,
강낭콩,넝쿨콩,
강낭콩,빨간콩,
강낭콩,줄콩,
강낭콩,풋강낭콩,
거위,거위,
건가공(채)류,노가리채,
건가공(채)류,북어살,
건가공(채)류,북어채,
건가공(채)류,오징어발,
건가공(채)류,오징어채,
건가공(채)류,쥐치채,
건가공(채)류,한치채,
건가공(포)류,갈치포,
건가공(포)류,노가리포,
건가공(포)류,돔포,
건가공(포)류,두절노가리,
건가공(포)류,메기포,
건가공(포)류,뱅어포,
건가공(포)류,북어포,
건가공(포)류,색줄멸포,
건가공(포)류,오징어포,
건가공(포)류,장어포,
건가공(포)류,쥐알포,
건가공(포)류,쥐치포,
건가공(포)류,청어포,
건가공(포)류,학꽁치포,
건가공(해조)류,돌미역,
건가공(해조)류,물미역,
건가공(해조)류,미역귀,
건가공(해조)류,미역줄기,
건가공(해조)류,미역파치,
건가공(해조)류,바람미역,
건가공(해조)류,봉지미역,
건가공(해조)류,쌈다시마,
건가공(해조)류,양식미역,
건가공(해조)류,오리미역,
건가공(해조)류,완도미역,
건가공(해조)류,울산대장각미역,
건가공(해조)류,자연미역,
건가공(해조)류,줄기미역,
건강보조식품,홍삼농축액,
건강보조식품,홍삼액,
건고추,건고추,90
건고추,반양건,90
건고추,양건,90
건고추,청양건고추,90
건고추,햇양건고추,90
건고추,햇화건고추,90
건고추,화건,90
건제품,건당근,
건제품,건바나나,
게,게,3
게,깨다시꽃게,3
게,납작게,3
게,달랑게,3
게,닭게,3
게,대게,3
게,던지네스게,3
게,돌게,3
게,두점박이민꽃게,3
게,맹그로브게,3
게,물맞이게,3
게,민꽃게,3
게,방게,3
게,범게,3
게,붉은대게,3
게,소라게,3
게,수꽃게,3
게,암꽃게,3
게,여섯갈래민꽃게,3
게,왕게,3
게,왕밤송이게,3
게,은행게,3
게,절단꽃게,3
게,점박이꽃게,3
게,조나게,3
게,참게,3
게,청색꽃게,3
게,청색왕게,3
게,칡게,3
게,코코넛게,3
게,털게,3
게,톱날꽃게,3
겨자,겨자,
겨자,적겨자,
겨자,청겨자,
고구마,건고구마,30
고구마,고구마,30
고구마,당근고구마,30
고구마,물고구마,30
고구마,밤고구마,30
고구마,붉은고구마,30
고구마,소담미,30
고구마,자주고구마,30
고구마,절간고구마,30
고구마,풍원미,30
고구마,호박고구마,30
고구마,황금고구마,30
고구마순,건고구마순,
고구마순,고구마순,
고구마순,삶은고구마순,
고구마순,생고구마순,
고구마순,청고구마순,
고구마순,홍고구마순,
고등어,갈고등어,2
고등어,망치고등어,2
고등어,몽치다래,2
고등어,재방어,2
고등어,점고등어,2
고등어,줄무늬고등어,2
고사리,건고사리,
고사리,고사리,
고사리,물고사리,
고사리,북한산고사리,
고사리,생고사리,
고수,고수,
고추냉이,고추냉이,
곡물류,귀리,
곡물류,두류,
곡물류,루핀종실,
곡물류,메밀,
곡물류,밀,
곡물류,보리,
곡물류,수수,
곡물류,쌀,
곡물류,옥수수,
곡물류,조,
곡물류,트리티케일,
곡물류,피,
곡물류,호밀,
곡물제조,감자국수,
곡물제조,감자당면,
곡물제조,고구마당면,
곡물제조,막걸리,
곡물제조,머루주,
곡물제조,무지개떡,
곡물제조,보리밥,
곡물제조,송편,
곡물제조,시루떡,
곡물제조,쌀국수,
곡물제조,쌀밥,
곡물제조,쌀쫄면,
곡물제조,약초주,
곡물제조,영지절편,
곡물제조,오곡밥,
곡물제조,인절미,
곡물제조,절편,
곡물제조,찹쌀떡,
곡물제조,청결미밥,
곡물제조,청주,
곡물제조,콩밥,
곡물제조,포도주,
곡물제조,한과,
곡물제조,함흥냉면,
곡물제조,현미밥,
곤드레나물,곤드레나물,
골뱅이,골뱅이,
곶감,감말랭이,
곶감,고산곶감,
곶감,곶감,
곶감,꽃반시,
곶감,반건시,
곶감,반건시,
곶감,상주곶감,
곶감,함안곶감,
광대버섯,광대버섯,
굴,가시굴,3
굴,갓굴,3
굴,굴,3
굴,깐굴,3
굴,바위굴,3
굴,참굴,3
굴,토굴,3
김,도시락용김,6개월
김,돌김,6개월
김,석태,6개월
김,석태김,6개월
김,식탁용맛김,6개월
김,참김,6개월
김,청태,6개월
김,청태김,6개월
김,파래김,6개월
까나리,까나리,
깻잎,깨송이,7
깻잎,깻단,7
깻잎,깻잎,7
깻잎,깻잎순,7
깻잎,삶은깻잎,7
꽁치,꽁치,
꽈리고추,꽈리고추,7
꽈리고추,왕꽈리,7
꿀벌,  밀감꿀,
꿀벌,  밤꿀,
꿀벌,  생로얄제리,
꿀벌,  아카시아꿀,
꿀벌,  유채꿀,
꿀벌,  크로바꿀,
꿀벌,꿀벌,
꿀벌,로얄제리,
꿀벌,밀랍,
꿀벌,양봉꿀,
꿀벌,프로폴리스,
꿀벌,한봉꿀,
꿀벌,화분,
낙지,낙지,
날치,날치,2
날치,매날치,2
날치,상날치,2
날치,새날치,2
날치,제비날치,2
날치,황날치,2
냉이,냉이,
냉이,황색냉이,
노루궁뎅이버섯,노루궁뎅이버섯,
녹두,녹두,
녹두,무광녹두,
녹두,발아녹두,
녹두,유광녹두,
느타리버섯,느타리버섯,
느타리버섯,병느타리,
느타리버섯,사철느타리,
느타리버섯,수한느타리,
느타리버섯,아위느타리,
느타리버섯,아위느타리×백령버섯,
느타리버섯,애느타리,
느타리버섯,여름느타리,
느타리버섯,원형느타리,
능이버섯,능이버섯,
다시마,다시마,
단감,단감,3
단감,대홍,3
닭고기,날개,3
닭고기,닭다리,3
닭고기,닭고기,3
닭고기,닭발,3
닭고기,아랫날개,3
닭고기,아랫다리,3
닭고기,안심,3
닭고기,윗다리,3
닭고기,윗다리,3
닭고기,통닭,3
당근,꼬마당근,
당근,당근,14
당근,세척당근,14
당근,자색당근,14
당근,흙당근,14
대파,깐대파,14
대파,대파,14
대파,중파,14
도라지,깐도라지,10
도라지,도라지,10
도라지,도라지채,10
도라지,북한산 도라지,10
도라지,생도라지자연산,10
도라지,생도라지재배산,10
도라지,실도라지,10
도루묵,도루묵,
돈육,  삼겹살,2
딸기,딸기,3
딸기,산딸기,3
딸기,왕딸기,3
딸기,플라밍고,3
땅콩,깐땅콩,
땅콩,땅콩,
땅콩,땅콩순,
땅콩,피땅콩,
레몬,라임,8
레몬,레몬,7
리치,리치,
마늘,깐마늘,14
마늘,마늘,14
마늘,마늘쫑,14
마늘,육쪽마늘,14
마늘,주대마늘,14
마늘,쪽마늘,14
마늘,풋마늘,14
만리향,만리향,
망고,망고,3
망고,애플망고,3
망고스턴,망고스턴,
망태버섯,망태버섯,
매실,매실,8
매실,청매실,8
매실,홍매실,8
메론,골든볼,
메론,메론,
메밀,메밀,
메추리,메추리,
멸치,멸치,365
멸치,대멸치,365
명아주,명아주,
명태,명태,
명태,북양명태,
모과,모과,
목련,목련,
목이,건목이버섯,
목이,목이,
목이,임협목이1호,
무,가을무,7
무,고냉지무,7
무,남지무,7
무,단무지무,7
무,달랑무,7
무,동자무,7
무,무,7
무,무말랭이,7
무,무솎음,7
무,봄무,7
무,세척무,7
무,소궁기무,7
무,여름무,7
무,월동무,7
무,자색무,7
무,저장무,7
무,태백무,7
무화과,무화과,
묵나물,묵나물,
문어,대문어,7
문어,모래문어,7
문어,백문어,7
문어,보라문어,7
문어,엔도문어,7
문어,왜문어,7
문어,참문어,7
문어,피문어,7
미나리,돌미나리,4
미나리,미나리,4
미나리,수경미나리,4
미나리,야생미나리,4
미더덕,두줄미더덕,
미더덕,미더덕,
미더덕,상칭미더덕,
미더덕,세줄미더덕,
미더덕,오만등이,
미더덕,주름미더덕,
미역,미역,1년
미역,미역귀,1년
바나나,바나나,3
바지락,바지락,
박하,박하,
방울양배추,방울양배추,
방울토마토,방울토마토,7
배,배,
배추,고냉지배추,21
배추,김장배추,21
배추,배양채,21
배추,배추,21
배추,배추뿌리,21
배추,봄배추,21
배추,생채용 배추,21
배추,쌈배추,21
배추,여름배추,21
배추,우거지,21
배추,월동배추,21
배추,저장배추,21
배추,절임배추,21
버터,버터,180
복분자,복분자,
복숭아,그린황도,3
복숭아,단황도,3
복숭아,백도,3
복숭아,백천황도,3
복숭아,천도복숭아,3
복숭아,복숭아,3
브로코리,브로코리,04월 05일
블루베리,하니베리,7
사과,사과,14
살구,살구,2
상추,상추,2
새우,닭새우,1
새우,새우,1
생강,갈은생강,14
생강,구강,14
생강,깐생강,14
수박,꿀수박,14
수박,노란수박,14
수박,달고나수박,14
수박,무등산수박,14
수박,복수박,14
수박,속노란수박,14
수박,수박,14
숙주나물,숙주나물,2
순무,순무,
시금치,바우새,
식용허브,딜,
식용허브,로즈마리,
식용허브,로케트,
식용허브,바실,
식용허브,식용허브,
식용허브,자소,
식용허브,타이바질(호라파),
식용허브,페파민트,
쌀,쌀,
쌀,쌀겨,
쌀,쑥쌀,
쌀,양조미,
쌀,청결미,
쌀,품질인증미,
쌀,향미,
쌀,혼합미,
쌀,흑미,
쌈채,모듬쌈채,
쌈추,쌈추,
쌈추,적쌈추,
쑥,쑥,
쑥갓,쑥갓,
아몬드,아몬드,
아보카도,아보카도,
아스파라가스,백색,
아스파라가스,아스파라가스,
알로에,알로에,
앵두,앵두,3
양배추,양배추,7
양배추,저장양배추,7
양배추,조생양배추,7
양상추,양상추,7
양송이,양송이,3
양파,건양파,90
양파,깐양파,90
양파,양파,90
어묵,어묵,29
어묵,게맛생선묵,29
어묵,구운어묵,29
어묵,멸치어비,29
어묵,명태어분,29
어묵,상어어유,29
어묵,새우껍질어분,29
어묵,새우맛어묵,29
어묵,어육쏘세지,29
어묵,오징어어묵,29
어묵,정어리어비,29
어묵,주치어유,29
어묵,찐어묵,29
연제품류,갑오징어묵,
연제품류,구운어묵,
연제품류,맛살,
연제품류,부들어묵,
연제품류,새우맛어묵,
연제품류,어육소시지,
연제품류,오징어어묵,
연제품류,찐어묵,
연제품류,튀김어묵,
열무,열무,
열무,열무솎음,
오렌지,오렌지,14
오렌지,천혜향,14
오리,오리,
오리,육용 오리,
오리,종압(종오리),
오리고기,발골용,
오리고기,절단용,
오리고기,통(전체)용,
오이,오이,10
오징어,오징어,2
오징어,오징어발,2
오징어,오징어채,2
옥수수,곡실옥수수,3
옥수수,단옥수수,3
옥수수,미백,3
옥수수,발아옥수수,3
옥수수,볶은옥수수,3
옥수수,옥수수,3
옥수수,옥수수수염,3
옥수수,옥수수쌀,3
옥수수,찰옥수수,3
옥수수,팝콘옥수수,3
옥수수,풋옥수수,3
완두,깐완두,
완두,완두,
완두,풋완두,
완두,피완두,
우럭,우럭,
우렁이,우렁이,
우유,우유,
우엉,우엉,
우엉,우엉잎,
우엉,우엉채,
우엉,통우엉,
유채,사료용,
유채,식용,
유채,유채,
유채,유채잎,
유채,홍채태,
유청,유청,
유크림,유크림,
육가공품,돈육포,
육가공품,베이컨,
육가공품,본인햄,
육가공품,소시지,
육가공품,안심햄,
육가공품,우육포,
육가공품,혼합프레스햄,
율무,개량율무,
율무,율무,
율무,율무쌀,
은비늘치,은비늘치,
자두,자두,
자몽,자몽,14
자연산송이,양식송이,
자연산송이,자연산송이,
전복,깐전복,1
전복,마대오분자기,1
전복,말전복,1
전복,오분자기,1
전복,왕전복,1
전복,참전복,1
전복버섯,백복신,
전복버섯,적복령,
전분 및 사료제조,감자전분,
전분 및 사료제조,고구마전분,
전분 및 사료제조,도토리전분,
전분 및 사료제조,메밀묵,
전분 및 사료제조,메주가루,
전분 및 사료제조,솔잎가루,
전분 및 사료제조,쌀가루,
전분 및 사료제조,쌀엿,
전분 및 사료제조,쑥가루,
전분 및 사료제조,옥수수전분,
전분 및 사료제조,전통엿,
전분 및 사료제조,찹쌀엿,
전분 및 사료제조,찹쌀조청엿,
전분 및 사료제조,호박물엿,
절임식품,김밥단무지,
절임식품,깻잎김치,
절임식품,도라지장아찌,
절임식품,마늘쫑,
절임식품,맛단무지,
절임식품,썬단무지,
절임식품,썬오이지,
절임식품,양파,
절임식품,얼갈이김치,
절임식품,오이피클,
절임식품,절임식품,
절임식품,참외지,
절임식품,포기김치,
조기,굴비,
조기,백조기,
조기,보리조기,
조기,부세,
조기,수조기,
조기,참조기,
조기,황석어,
조란,계란,
조란,꿩알,
조란,메추리 알,
조란,오리 알,
조미가공,가자미,
조미가공,건과류,
조미가공,고등어,
조미가공,김,
조미가공,꼴뚜기,
조미가공,꽃게,
조미가공,도루묵,
조미가공,돌김,
조미가공,명태포,
조미가공,문어,
조미가공,바지락,
조미가공,방어,
조미가공,보리멸포,
조미가공,붕장어,
조미가공,새우,
조미가공,오징어,
조미가공,장어,
조미가공,조개살,
조미가공,쥐치,
조미가공,청어,
조미가공,학꽁치,
조미제품,간장메주,
조미제품,마늘다대기,
조미제품,볶음고추장,
조미제품,생고추장,
조미제품,전통고추장,
조미제품,참깨소금,
조미제품,초피가루,
조미제품,홍고추다대기,
주스,당근쥬스,7
주스,딸기쥬스,7
주스,복숭아쥬스,7
주스,사과쥬스,7
주스,토마토쥬스,7
주스,파인애플쥬스,7
주스,포도쥬스,7
참외,노랑참외,7
참외,만리장성,7
참외,부자꿀,7
참외,참외,7
참외,칠성꿀,7
참외,팔복꿀,7
참외,하늘애,7
찹쌀,발아찰현미,
찹쌀,찹쌀,
찹쌀,현미찹쌀,
채소,꽃토마토,
채소,도라지,
채소,딸기,
채소,채소,
채소,토마토,
천리향,천리향,
청각,청각,
청경채,적채심,7
청경채,채심,7
청경채,청경채,7
체리,체리,5
취나물,건취나물,
취나물,곰취나물,
취나물,삶은취나물,
취나물,생취나물,
취나물,취나물,
치즈,치즈,30
치커리,치커리,7
치커리,치콘,7
치커리,트레비스,7
치커리,프라스타,7
칠면조,칠면조,2
커피나무,커피나무,
커피나무,커피아라바카,
커피류,발아생두,
커피류,생두,
케일,그린로즈,
케일,레드케일,
케일,로얄채,
케일,로즈,
케일,백로즈,
케일,쌈케일,
케일,적로즈,
케일,컬트케일,
케일,케일,
코코넛,코코넛,
콩,갓끈콩,
콩,발아콩,
콩,밤콩,
콩,백태,
콩,서리태,
콩,서목태,
콩,선비태,
콩,아주까리콩,
콩,알록콩,
콩,약콩,
콩,양태,
콩,울콩,
콩,장단콩,
콩,청태,
콩,콩,
콩,콩나물콩,
콩,풋청태,
콩,풋콩,
콩,호랑이콩,
콩,황태,
콩,흑태,
콩나물,콩나물,3
토마토,마스카라,5
토마토,완숙토마토,5
토마토,찰토마토,5
토마토,토마토,5
파인애플,파인애플,
파파야,파파야,
파프리카,노랑파프리카,8
파프리카,녹색파프리카,8
파프리카,미니파프리카,8
파프리카,빨강파프리카,8
파프리카,오렌지파프리카,8
파프리카,토마피파프리카,8
파프리카,파프리카,8
팽이버섯,팽이버섯,7
팽이버섯,황금송이,7
페페로미아,페페로미아,
포도,거봉,7
포도,샤인마스캇,7
포도,진옥,7
포도,청수,7
포도,청포도,7
포도,톰슨시들레스,7
포도,포도,7
표고버섯,건표고버섯,8
표고버섯,동고건표고,8
표고버섯,백화고건표고,8
표고버섯,생표고,8
표고버섯,표고버섯,8
표고버섯,향고건표고,8
표고버섯,향신건표고,8
표고버섯,화고건표고,8
